ds,yhat
2024-04-28,35.28203782751601
2024-04-29,35.338449052887185
2024-04-30,35.236798745477984
2024-05-01,35.31298880098568
2024-05-02,35.0354312883947
2024-05-03,34.63117747603442
2024-05-04,35.0125107435234
2024-05-05,35.27806787325521
2024-05-06,35.33447912606619
2024-05-07,35.23282884609647
2024-05-08,35.309018929044086
2024-05-09,35.031461446549535
2024-05-10,34.627207664286956
2024-05-11,35.0085409618711
2024-05-12,35.27409812170155
2024-05-13,35.33050938198063
2024-05-14,35.22885910948063
2024-05-15,35.305049199896665
2024-05-16,35.027491853758015
2024-05-17,34.623238207847756
2024-05-18,35.00457164178623
2024-05-19,35.27012893851724
2024-05-20,35.3265403312851
2024-05-21,35.224890191273516
2024-05-22,35.30108041417878
2024-05-23,35.02352306883675
2024-05-24,34.619269423724226
2024-05-25,35.00060285846089
2024-05-26,35.266160178345906
2024-05-27,35.32257159426962
2024-05-28,35.220921477412354
2024-05-29,35.29711172347307
2024-05-30,35.019554739513666
2024-05-31,34.61530145578469
2024-06-01,34.99663525190465
2024-06-02,35.262424435797556
2024-06-03,35.319067715729304
2024-06-04,35.217649462880516
2024-06-05,35.30129701163974
2024-06-06,35.03119699190121
2024-06-07,34.63440067239316
2024-06-08,35.0231914327339
2024-06-09,35.30129755634614
2024-06-10,35.37025777599732
2024-06-11,35.28115646286808
2024-06-12,35.36997193479595
2024-06-13,35.10503983822522
2024-06-14,34.713411441885796
2024-06-15,35.107370125395036
2024-06-16,35.38555267207059
2024-06-17,35.45458931478478
2024-06-18,35.36556442471899
2024-06-19,35.45437989427356
2024-06-20,35.189447795329016
2024-06-21,34.797819396616795
2024-06-22,35.19177807562308
2024-06-23,35.46996061687105
2024-06-24,35.538997254159085
2024-06-25,35.44997235866657
2024-06-26,35.53878780101274
2024-06-27,35.27385567485912
2024-06-28,34.88222724893778
2024-06-29,35.27293181606933
2024-06-30,35.54786024544568
2024-07-01,35.6136427708604
2024-07-02,35.52136376349463
2024-07-03,35.59980209278483
2024-07-04,35.32449285357613
2024-07-05,34.92248731459737
2024-07-06,35.294934657523704
2024-07-07,35.55160586269417
2024-07-08,35.59913116390279
2024-07-09,35.46963478149095
2024-07-10,35.51797876199532
2024-07-11,35.2125751740019
2024-07-12,34.7804752862385
2024-07-13,35.10684016224916
2024-07-14,35.31742890050339
2024-07-15,35.318871734796794
2024-07-16,35.12549544472087
2024-07-17,35.109959517561805
2024-07-18,34.74067602190394
2024-07-19,34.244696226477274
2024-07-20,34.49464805108481
2024-07-21,34.62882373793904
2024-07-22,34.55385352083013
2024-07-23,34.294125209913005
2024-07-24,34.212237261912904
2024-07-25,33.776601745413444
2024-07-26,33.21426992914664
2024-07-27,33.43752519272617
2024-07-28,33.545004318552
2024-07-29,33.44333754041516
2024-07-30,33.183609229498074
2024-07-31,33.101721281497994
2024-08-01,32.666085764998456
2024-08-02,32.10375394873121
2024-08-03,32.327009212311374
2024-08-04,32.434488338137065
2024-08-05,32.33282156000018
2024-08-06,32.073093249082724
2024-08-07,31.991205301082736
2024-08-08,31.55556978458274
2024-08-09,30.993237968316272
2024-08-10,31.216493231896653
2024-08-11,31.32397235772146
2024-08-12,31.222305579584905
2024-08-13,30.962577268668188
2024-08-14,30.880689320667912
2024-08-15,30.445053804167383
2024-08-16,29.88272198790128
2024-08-17,30.10597725148187
2024-08-18,30.213456377306514
2024-08-19,30.111789599169636
2024-08-20,29.852061288252855
2024-08-21,29.770173340252658
2024-08-22,29.334537823753923
2024-08-23,28.772206007486098
2024-08-24,28.99546127106721
2024-08-25,29.10294039689144
2024-08-26,29.001273618754666
2024-08-27,28.74154530783756
2024-08-28,28.659657359837833
2024-08-29,28.22402184333857
2024-08-30,27.661690027070915
2024-08-31,27.884945290652425
2024-09-01,27.9924244164765
2024-09-02,27.890757638339696
2024-09-03,27.631029327422628
2024-09-04,27.549141379422156
2024-09-05,27.11350586292322
2024-09-06,26.551174046655973
2024-09-07,26.77442931023574
2024-09-08,26.88190843606089
2024-09-09,26.780241657924435
2024-09-10,26.52051334700768
2024-09-11,26.438625399007332
2024-09-12,26.00298988250975
2024-09-13,25.440658066241028
2024-09-14,25.66391332982101
2024-09-15,25.771392455646076
2024-09-16,25.669725677509167
2024-09-17,25.409997366592346
2024-09-18,25.32810941859241
2024-09-19,24.89247390209403
2024-09-20,24.330142085825845
2024-09-21,24.55339734940629
2024-09-22,24.660876475231
2024-09-23,24.559209697094474
2024-09-24,24.299481386177007
2024-09-25,24.21759343817716
2024-09-26,23.781957921679044
2024-09-27,23.219626105410665
2024-09-28,23.442881368991507
2024-09-29,23.550360494816054
2024-09-30,23.4486937166795
2024-10-01,23.18896540576207
2024-10-02,23.10707745776191
2024-10-03,22.671441941263325
2024-10-04,22.109110124995667
2024-10-05,22.332365388576726
2024-10-06,22.43984451440098
2024-10-07,22.338177736263948
2024-10-08,22.078449425347127
2024-10-09,21.996561477346994
2024-10-10,21.560925960847968
2024-10-11,20.998594144580725
2024-10-12,21.221849408160093
