ds,yhat
2024-04-28,31.12196013986817
2024-04-29,32.62854696854062
2024-04-30,32.80979540803306
2024-05-01,34.324627222057956
2024-05-02,33.61393949233003
2024-05-03,32.1832106007388
2024-05-04,33.28097576494286
2024-05-05,32.86489757243654
2024-05-06,34.371484400945675
2024-05-07,34.55273284027032
2024-05-08,36.067564654131104
2024-05-09,35.35687692309303
2024-05-10,33.92614803020135
2024-05-11,35.0239131930953
2024-05-12,34.6078349992834
2024-05-13,36.11442182709656
2024-05-14,36.295670265733165
2024-05-15,37.81050207889813
2024-05-16,37.099570834854966
2024-05-17,35.66859842894339
2024-05-18,36.766120078822006
2024-05-19,36.349628619366634
2024-05-20,37.85580218128683
2024-05-21,38.036637354026006
2024-05-22,39.551055901297275
2024-05-23,38.83632906176752
2024-05-24,37.40156106037239
2024-05-25,38.495287114775294
2024-05-26,38.05713973489589
2024-05-27,39.541657376394504
2024-05-28,39.70083662871324
2024-05-29,41.19359925556854
2024-05-30,40.42555870154958
2024-05-31,38.937476985670756
2024-06-01,39.97788932558437
2024-06-02,39.4649406857997
2024-06-03,40.87465706739319
2024-06-04,40.959035059808485
2024-06-05,42.33028951646738
2024-06-06,41.47602442918211
2024-06-07,39.901718180033875
2024-06-08,40.855905986673825
2024-06-09,40.24889981978786
2024-06-10,41.56455867427817
2024-06-11,41.55487913958918
2024-06-12,42.8249075953142
2024-06-13,41.869416507095
2024-06-14,40.19388425701449
2024-06-15,41.04684606272057
2024-06-16,40.354622633214774
2024-06-17,41.58506422508837
2024-06-18,41.49016742777959
2024-06-19,42.70170163219832
2024-06-20,41.68771629266739
2024-06-21,39.95368979128145
2024-06-22,40.7235262547446
2024-06-23,39.979519361501296
2024-06-24,41.15817748963689
2024-06-25,41.01149722858831
2024-06-26,42.18579019805837
2024-06-27,41.13456362357501
2024-06-28,39.363295887230635
2024-06-29,40.12051479335151
2024-06-30,39.36389034276303
2024-07-01,40.52993091355567
2024-07-02,40.370633095162724
2024-07-03,41.54491865211
2024-07-04,40.49368466510111
2024-07-05,38.72240951622934
2024-07-06,39.479628422550974
2024-07-07,38.72300397216469
2024-07-08,39.889044543156075
2024-07-09,39.72974672652305
2024-07-10,40.90403228442226
2024-07-11,39.852798298374935
2024-07-12,38.08152315046232
2024-07-13,38.83874205708332
2024-07-14,38.08211760699721
2024-07-15,39.24815817828885
2024-07-16,39.088860357874104
2024-07-17,40.26314591199149
2024-07-18,39.21191192215351
2024-07-19,37.440636770457175
2024-07-20,38.19785567311794
2024-07-21,37.44123121906914
2024-07-22,38.60727178639716
2024-07-23,38.44797396449143
2024-07-24,39.622259517119936
2024-07-25,38.5710255257891
2024-07-26,36.79975037261232
2024-07-27,37.556969275216815
2024-07-28,36.80034482111524
2024-07-29,37.966385388392176
2024-07-30,37.80708756648647
2024-07-31,38.9813731191126
2024-08-01,37.93013912778652
2024-08-02,36.15886397460119
2024-08-03,36.916082877209135
2024-08-04,36.159458423108816
2024-08-05,37.32549899038719
2024-08-06,37.166201168478445
2024-08-07,38.340486721105194
2024-08-08,37.289252729775775
2024-08-09,35.51797757659682
2024-08-10,36.275196479203466
2024-08-11,35.51857202510169
2024-08-12,36.68461259237589
2024-08-13,36.52531477047655
2024-08-14,37.699600323101755
2024-08-15,36.64836633176911
2024-08-16,34.87709117859178
2024-08-17,35.63431008119578
2024-08-18,34.87768562709528
2024-08-19,36.04372619436934
2024-08-20,35.88442837246852
2024-08-21,37.058713925094345
2024-08-22,36.00747993376852
2024-08-23,34.23620478058403
2024-08-24,34.99342368319212
2024-08-25,34.236799229089115
2024-08-26,35.402839796364354
2024-08-27,35.24354197445899
2024-08-28,36.417827527090914
2024-08-29,35.366593535761865
2024-08-30,33.59531838257629
2024-08-31,34.35253728518444
2024-09-01,33.5959128310827
2024-09-02,34.761953398359374
2024-09-03,34.60265557645403
2024-09-04,35.77694112907954
2024-09-05,34.7257071377552
2024-09-06,32.95443198457191
2024-09-07,33.71165088717679
2024-09-08,32.955026433075574
2024-09-09,34.12106700035282
2024-09-10,33.96176917844907
2024-09-11,35.13605473107611
2024-09-12,34.08482073975461
2024-09-13,32.31354558656754
2024-09-14,33.07076448917111
2024-09-15,32.31414003506891
2024-09-16,33.480180602346266
2024-09-17,33.32088278044104
2024-09-18,34.49516833306877
2024-09-19,33.44393434174387
2024-09-20,31.672659188559795
2024-09-21,32.42987809116545
2024-09-22,31.673253637062732
2024-09-23,32.8392942043381
2024-09-24,32.67999638243301
2024-09-25,33.854281935061366
2024-09-26,32.80304794374128
2024-09-27,31.03177279055204
2024-09-28,31.788991693157765
2024-09-29,31.032367239056327
2024-09-30,32.198407806333115
2024-10-01,32.03910998442805
2024-10-02,33.21339553705396
2024-10-03,32.16216154573055
2024-10-04,30.390886392547003
2024-10-05,31.14810529515008
2024-10-06,30.391480841050157
2024-10-07,31.557521408324998
2024-10-08,31.398223586423082
2024-10-09,32.57250913904663
2024-10-10,31.52127514772388
2024-10-11,29.749999994542634
2024-10-12,30.507218897144437
